 run burst level fpga channel peak over_thr peak_space peak_time a b c d e timestamp
67 6235.0 41446 l1 PP2 3.0 1.0 1.0 1.0 1.0 0.0 2.0 6.0 13.0 13.0 80001569.0
68 6235.0 41446 l1 PP2 3.0 2.0 1.0 1.0 1.0 0.0 4.0 11.0 11.0 6.0 80001570.0
69 6235.0 41446 l1 PP2 3.0 3.0 1.0 1.0 0.0 0.0 0.0 0.0 6.0 17.0 80002866.0
70 6235.0 41446 l1 PP2 3.0 4.0 1.0 1.0 1.0 0.0 0.0 6.0 17.0 17.0 80002867.0
71 6235.0 41446 l1 PP2 3.0 5.0 1.0 1.0 1.0 0.0 6.0 17.0 17.0 9.0 80002868.0
72 6235.0 41446 l1 PP2 3.0 6.0 1.0 1.0 0.0 0.0 0.0 2.0 6.0 7.0 80003506.0
73 6235.0 41446 l1 PP2 3.0 7.0 1.0 1.0 1.0 0.0 3.0 7.0 8.0 6.0 80003507.0
74 6235.0 41446 l1 PP2 3.0 8.0 1.0 1.0 0.0 0.0 0.0 1.0 44.0 143.0 80007501.0
77 6235.0 41446 l1 PP2 3.0 11.0 1.0 1.0 0.0 0.0 99.0 125.0 65.0 0.0 80007504.0
78 6235.0 41446 l1 PP2 3.0 12.0 1.0 1.0 0.0 0.0 0.0 1.0 11.0 28.0 80007751.0
79 6235.0 41446 l1 PP2 3.0 13.0 1.0 1.0 0.0 0.0 1.0 11.0 28.0 30.0 80007752.0
80 6235.0 41446 l1 PP2 3.0 14.0 1.0 1.0 1.0 0.0 10.0 27.0 29.0 17.0 80007753.0
81 6235.0 41446 l1 PP2 3.0 15.0 1.0 1.0 0.0 0.0 17.0 19.0 7.0 0.0 80007754.0
82 6235.0 41446 l1 PP2 3.0 16.0 1.0 1.0 1.0 0.0 1.0 5.0 7.0 6.0 80007807.0
83 6235.0 41446 l1 PP2 4.0 0.0 1.0 1.0 1.0 0.0 0.0 3.0 6.0 5.0 80000566.0
84 6235.0 41446 l1 PP2 4.0 1.0 1.0 1.0 0.0 0.0 1.0 3.0 10.0 16.0 80000757.0
85 6235.0 41446 l1 PP2 4.0 2.0 1.0 1.0 1.0 0.0 2.0 9.0 15.0 13.0 80000758.0
86 6235.0 41446 l1 PP2 4.0 3.0 1.0 1.0 0.0 0.0 7.0 13.0 11.0 5.0 80000759.0
